word,label
v,1
poledne,0
si,0
ho,0
"vyzvedne,",1
oznámila,0
mu.,0
"„Dobře,”",0
řekl,0
Oskar,0
co,0
možná,0
klidně.,0
Později,0
to,0
prý,0
"nejde,",0
odjíždějí,0
na,1
"hory,",0
dostalo,0
se,0
mu,0
vysvětlení.,0
Oskar,0
lhostejně,0
přikývl.,0
Takže,0
letos,0
bude,0
Štědrý,0
den,0
už,0
osmnáctého.,0
Příští,0
rok,0
možná,0
už,0
devátého…,0
Ale,0
"co,",0
pomyslel,0
si,0
v,1
"duchu,",1
pokud,0
jde,1
o,0
"něj,",0
může,0
ty,0
podělaný,1
Vánoce,0
slavit,0
třeba,0
v,1
červenci.,0
Jemu,0
je,0
to,0
jedno.,1
„Hezký,0
"Vánoce,”",0
popřála,0
mu,0
"exmanželka,",0
přibouchla,0
dveře,0
od,0
auta,0
a,0
odjela.,0
Sli,0
se,0
synem,0
do,0
"kina,",0
po,0
filmu,0
si,0
dali,0
v,0
pizzerii,0
oběd,0
a,0
nakonec,0
se,0
stavili,0
doma,0
pro,0
kapra.,0
Oskar,0
ho,0
opatrně,0
vyndal,0
z,0
"vany,",0
zabalil,0
ho,0
do,0
mokré,0
utěrky,0
a,0
uložil,0
do,0
igelitové,0
tašky.,0
Potom,0
šli,0
k,0
"Vltavě,",0
aby,0
ho,0
pustili,0
na,1
svobodu -,0
tuhle,0
sentimentální,0
kravinu,0
podstupoval,0
Oskar,0
obzvláště,0
"nerad,",0
ale,0
kvůli,0
synovi,0
se,0
každý,0
rok,0
nakonec,0
vždycky,0
přemohl.,1
Cestou,0
se,0
koulovali,0
špinavým,0
městským,0
"sněhem,",0
nahlíželi,0
do,0
osvětlených,0
výloh,0
přecpaných,0
obchodů,0
a,0
v,0
jednom,0
z,0
nich,0
společně,0
vybrali,0
dárek,0
mámě.,0
Než,0
dorazili,0
k,0
"řece,",0
setmělo,0
se.,0
Nábřeží,0
bylo,0
mizerně,0
osvětlené,0
a,0
Oskar,0
se,0
"bál,",0
aby,0
syn,0
nespadl,0
do,0
vody.,0
Vybalil,0
"kapra,",0
volnou,0
rukou,0
objal,0
chlapce,0
kolem,0
pasu,0
a,0
společně,0
se,0
naklonili,0
nad,0
černou,0
hladinu.,0
„Milý,0
"kapříku,",0
přejeme,0
"ti,",0
aby,0
ses,0
tu,0
měl,0
moc,0
krásně,0
a,0
našel,0
sis,0
tu,0
nové,0
"kamarády,”",0
popřál,0
rybě,0
s,0
dojemnou,0
vážností,0
syn.,0
„Tak,0
tě,0
pic,0
a,0
děkuj,0
"bohu,",0
že,0
jsme,0
tě,0
"nesežrali,”",0
doplnil,0
Oskar.,0
Syn,0
se,0
"rozesmál,",0
ale,0
potom,0
už,0
ze,0
sebe,0
smích,0
křečovitě,0
"nutil,",0
což,0
byla,0
jedna,0
z,0
"věcí,",0
které,0
šly,1
Oskarovy,0
odjakživa,0
na,1
nervy.,1
"„Raz,",0
"dva,",0
tři!”,0
zvolal,0
a,0
s,0
okázalým,0
rozmachem,0
hodil,0
kapra,0
do,0
vody.,0
„Tak,0
plav,0
a,0
bud,0
"rád,",0
že,0
jsme,0
tě,0
nesežrali!”,0
vykřikl,0
syn.,0
Ryba,0
se,0
potopila,0
a,0
hned,0
vzápětí,0
zase,0
"vynořila,",0
avšak,0
namísto,0
očekávaného,0
"bystrého,",0
ne-li,0
přímo,0
vděčného,0
švihnutí,0
ocasní,0
ploutví,0
se,0
"pomalu,",0
ale,0
nezadržitelně,0
otočila,0
světlým,0
břichem,0
vzhůru.,0
Dítě,0
okamžitě,0
zvážnělo,0
a,0
nervózně,0
vzhlédlo,0
k,0
otci.,0
„Není,0
"mrtvej,",0
že,0
ne?”,0
tázalo,0
se,0
s,1
úzkostí,0
v,1
hlase.,0
Oskar,0
se,0
snažil,0
skrýt,1
paniku,0
a,0
s,1
předstíraným,0
klidem,0
se,0
"díval,",0
jak,0
ledový,0
černý,0
proud,0
unáší,0
nehybné,0
rybí,0
tělo,0
kamsi,0
k,0
pilířům,0
železničního,0
mostu.,0
"„Neboj,",0
bude,0
v,1
"pohodě,”",0
ujistil,0
syna.,0
„Za,1
chvíli,0
se,0
vzpamatuje.”,0
"„Určitě,",0
tati?”,0
řekl,0
chlapec,0
a,0
zajíkl,0
se.,0
„Určitě,0
se,0
vzpamatuje?”,0
Oskar,0
jeho,0
pohled,0
nedokázal,0
snést.,1
„Určitě.,0
Vždycky,0
pár,0
vteřin,0
"trvá,",0
než,0
se,0
mu,0
zase,0
okysličí,0
krev.”,0
"„Přísahej,”",0
žádal,0
ho,0
syn.,0
V,0
jeho,0
očích,0
byly,0
slzy.,0
Oskar,0
k,0
němu,0
přiklekl,0
a,0
uchopil,0
ho,0
za,0
ramena.,0
„Přísahám,0
"ti,",0
že,0
se,0
za,1
chvíli,0
vzpamatuje!”,0
řekl,0
s,0
maximální,0
možnou,0
přesvědčivostí.,0
V,1
duchu,1
se,0
"modlil,",0
aby,0
toho,0
leklýho,0
chcípáka,0
konečně,0
ztratili,0
z,0
dohledu.,0
Ani,0
večer,0
se,0
příliš,0
nepovedl.,0
a,0
co,0
Nikolka,0
kdyžs,0
jí,0
to,0
"dala,",0
"říká,",0
já,0
takový,0
doma,0
mám.,0
já.1,0
říkám.,0
jo.,0
přesně.,0
"ano,",0
a.1,0
já.2,0
sem,0
jí.1,0
a.2,0
už,0
předtým,0
sem.1,0
jí.2,0
říkala.,0
já.3,0
sem.2,0
ti,0
kúpila,0
takový.1,0
oranžový,0
nátělníček,0
a.,0
ona,0
"říká,.1",0
já.4,0
sem.3,0
si,0
na,1
to.1,0
akorát,0
myslela.,0
že,0
bych,0
od,1
tebe,0
mohla,0
dostat,0
neco,0
"oranžového,",0
ne,0
ju,0
nekdy,0
fakt,0
napadne,1
ona.1,0
má,0
takové,0
jakože,0
hlášky.,1
že.1,0
to.2,0
to.3,0
bys.,0
jako,0
ona.2,0
zkouší,0
no.,0
ale,0
má.1,0
doma.1,0
ňáký,0
oranžový.1,0
ale.1,0
mmm,0
ne.1,0
šatičky,0
jako.1,0
má.2,0
enom,0
ňáké,0
tričko.,0
má.3,0
tričko,0
oranžové,0
to.4,0
vlastně,0
dostala,0
ode,1
"mě,",0
jedno.,0
pak,0
má.4,0
eště,0
druhé,0
"ňáké,",0
ale.2,0
jako.2,0
šatičky.1,0
oranžové.1,0
nemá.,0
ale.3,0
tak,0
to.5,0
ona.3,0
všechno,0
pláce,1
dohromady-,0
ale.4,0
ne.2,0
šak,0
to.6,0
je,0
takový.2,0
nátělník.,0
"ale,",0
a.3,0
tož,0
tak.1,0
no..1,0
tak.2,0
sem.4,0
ale.5,0
já.5,0
sem.5,0
tento,0
týden,0
neměla,0
čas,0
"to,",0
já.6,0
sem.6,0
si.1,0
myslela,0
že.2,0
to.7,0
tam,0
bude,0
že.3,0
to.8,0
přešiju.,0
enomže,0
"sem,",0
jezdila,0
do,0
toho,0
"Kyjova,",0
pracovně.,0
takže,0
to.9,0
já.7,0
nemám,0
"čas,",0
já.8,0
dyž,0
su,0
v,0
Kyjově,0
tak.3,0
dojedu,0
dom,0
o,1
půl,0
"šesté,",0
fakt?,0
"ano,.1",0
já.9,0
"jedu,",0
eee.,0
tam.1,0
je.1,0
totiž,0
pracovní,0
doba,0
od.1,1
osmi,0
do.1,1
"čtyřech,",0
otevřené,1
je.2,0
tam.2,0
od.2,1
osmi.1,0
do.2,1
čtyř.,0
takže.1,0
já.,0
vyjedu,1
v.1,1
"sedum,",0
ráno,0
z,0
Veselí.,0
ve,1
štyři,0
"zavírám,",1
a.4,0
šesnác,0
třicet,0
pět,0
mně,0
jede,0
"vlak,",0
takže.2,0
je.3,0
až,0
po,1
páté,0
ve.1,0
Veselí,0
a.5,0
já.10,0
fakt.1,0
dojdu,0
dom.1,0
o.1,1
půl.1,0
"šesté,.1",0
ty,0
jo,0
a.6,0
v.2,1
kolik,0
vycház*,0
v.3,1
kolik.1,0
vstáváš,0
"ráno,",0
eee..1,0
v.4,1
šest,0
hmm,0
"jo,",0
"takže,",0
vidíš.,1
jako.,0
v.5,0
Kyjově.1,0
zas,0
odpočívám,0
teda,0
tam.3,0
nikdo,0
"nechodí,",1
ale.6,0
"tož,",0
je.4,0
to.10,0
tam.,0
nadlúho.,0
a.7,0
nechodí,1
tam.4,0
moc,0
lidí,0
jako?,0
tam.5,0
nechodí.,1
tam.6,0
fakt.2,0
třeba,0
je.5,0
deset,0
lidí.1,0
za,1
"den,",0
a.8,0
ve.2,0
Veselí.1,0
víc.,0
"jako,",0
no,0
ve.3,0
Veselí.2,0
jeden,0
za.1,1
"druhým,",0
a.9,0
jakto?,0
jak.,0
tož.1,0
v.6,0
Kyjově.2,0
"máme,",0
tisíc,0
pojištěnců,0
u,1
nasí,0
u.1,1
naší,0
"pojišťovny,",0
a.10,0
ve.4,0
Veselí.3,0
přes,1
šest.1,0
"tisíc,",0
takže.3,0
vlastně.1,0
logicky,0
k,1
nám,0
chodí,1
šestkrát,0
tolik,0
"lidí,",0
takže.4,0
dyž.1,0
do.3,0
Kyjova,0
dojde,1
deset.1,0
tak.4,0
k.1,1
nám.1,0
šedesát,0
"že,",0
a.11,0
jaktože,0
je.6,0
tady,0
toli*,0
o.2,1
tolik.1,0
víc,0
jako?.1,0
tož.2,0
"protože,",0
tady.1,0
byly,0
"železárny,",0
a.12,0
vlasně,0
to.11,0
dyž.2,0
"začalo,",0
tak.5,0
"eee,",0
závodní,0
doktor,0
z.1,1
železáren,0
"všecky,",0
posílal,0
k.2,1
nas*,0
k.3,1
naší.1,0
pojišťovně,0
zdravotní.,0
takže.5,0
to.12,0
bylo,0
"tak,",0
aha.,0
tak.6,0
to.13,0
je.7,0
dobré,0
ne?,0
tož.3,0
ba,0
"jasně,",0
to.14,0
je.8,0
"výborné,",0
takže.6,0
tak.7,0
tak.8,0
tak.9,0
tak.10,0
sem.7,1
si.2,1
říkala,1
jak,0
bude.1,0
o.3,1
víkendu,0
krásně.,0
že.4,0
pojedeme,0
do.4,0
"Luhačovic,",0
na.1,1
to.15,0
otvírání,1
pramenů,0
a.13,0
nic,0
nic.,0
A,0
kdy,0
to.16,0
mělo,0
"byt,",0
to.17,0
to.18,0
bylo.1,0
dnes.,0
no.1,0
ale.7,0
nevim,0
jak.1,0
jim,0
to.19,0
vyšlo.,1
prtože,0
tam.7,0
"bylo,",0
od.3,1
jedné,0
hodiny,0
tam.8,0
byl,0
"jarmak,",0
v.7,0
té,0
nádražní,0
ulici,0
ale.8,0
my,0
sme,0
tam.9,0
nikdy,0
nebyli,0
ani,0
s,0
taťkou,0
tak.11,0
já.11,0
nevím,0
jak.2,0
to.20,0
tam.10,0
"vypadá,",0
ale.9,0
od.4,1
jedné.1,0
hodiny.1,0
jarmak,0
a.14,0
teďka,0
nevím.1,0
jesi,0
eee,0
od.5,1
odpoledne,0
prostě,0
tam.11,0
výstava,0
veteránů,0
aut,0
a.15,0
eee.1,0
kol,1
a.16,0
veteráni,0
cyk*,0
cyklisti,0
tam.12,0
ňákou,0
jízdu,0
na.2,0
tom,0
lázeňském,0
náměstí,0
u.2,0
Jurkovičového,0
domu,0
a.17,0
tak.12,0
sem.8,0
si.3,0
právě,0
tak.13,0
naplánovala,0
že.5,0
pěkně.,0
dyž.3,0
"bude,",0
krásně,0
tak.14,0
si.4,0
dám.,0
dlúhú,0
"sukňu,",0
"klobouk,",0
háčkované,0
"rukavičky,",0
Nikolce,0
"taky,",0
"šatičky,",0
"klobouček,",0
a.18,0
ty.1,0
pro,0
ňu,0
máš,0
jako.3,0
ňáké.1,0
šatičky.2,0
aj.,0
no.2,0
jo?,0
no.3,0
mám..1,0
dyby,0
bylo.2,0
teplo,0
tak.15,0
sem.9,0
měla,0
naplánované,0
eee.2,0
no..2,0
takové.1,0
šaty,0
jako.4,0
co.1,0
by,0
měla.1,0
dlúhé,0
jesi.1,0
by.1,0
jo.1,0
do.5,1
toho.1,0
chtěla,0
"jít,",1
jo.2,0
"pane,",0
jo.3,0
a.19,0
tak.16,0
to.21,0
v.8,1
létě,0
že.6,0
jo.4,0
až.1,0
bude.2,0
třeba.1,0
aj,0
ňáká,0
akce,0
to.22,0
jako.5,0
ani.1,0
nemusí,0
být,0
akce.,0
že.7,0
jo.5,0
když,0
se,0
tak.17,0
oblečete.,0
šak.1,0
nemusí.1,0
to.23,0
možem,0
jít,0
aj.1,0
do.6,0
Veselí.4,0
do.7,0
cukrárny.,0
"no,",0
"no,.1",0
hledět,0
a.20,0
že.8,0
ten,0
klobouček,0
ten.1,0
si.5,0
zkoušela,0
teďka.1,0
dneska.,0
jo.6,0
no.4,0
on,0
je.9,0
"trošku,",0
možná,0
by.2,0
ho,0
chtělo,0
trošku,0
namočit.,0
Jako,0
a.21,0
eee.3,0
natahnút,0
na.3,0
neco.1,0
vlhký.,0
aby,0
uschl,0
roztahlý.,0
mně.1,0
se.1,1
zdá,1
že.9,0
by.3,0
mohl,0
být.1,0
trošk*,0
jako.6,0
"volnější,",0
že.10,0
že.11,0
je.10,0
jí.3,0
trochu,0
malý,0
"jako,.1",0
ale.10,0
to.24,0
by.4,0
se.2,0
dalo,0
roztahnút,0
vlhké,0
dyby.1,0
to.25,0
bylo.,0
Po,1
dvaceti,0
letech,0
konečně,0
vidíme,0
na,0
konci,0
dlouhého,0
a,0
vysilujícího,1
tunelu,1
první,0
paprsky,1
světla.,1
Jak,0
upozorňoval,0
pan,0
poslanec,0
Milana,0
a,0
"další,",0
ještě,0
mnoho,0
toho,0
zbývá,0
"udělat,",0
ale,0
mnozí,0
z,0
nás,0
se,0
připravovali,0
na,1
nejhorší,0
a,0
"očekávali,",0
že,0
znovu,0
propukne,0
občanská,0
válka.,0
Blahopřeji,0
proto,0
severu,0
i,0
jihu,0
země,0
k,1
prvním,0
výsledkům,0
tohoto,0
referenda,0
Až,1
do,1
vyhlášení,1
nezávislosti,0
záleží,0
na,1
každém,0
dni.,0
Nikdo,0
si,0
nemůže,0
dovolit,0
udělat,0
chybný,1
"krok,",1
ani,0
v,0
"Chartúmu,",0
ani,0
v,0
"Jubě,",0
ani,0
v,0
Bruselu,0
nebo,0
v,0
Africké,0
unii,0
v,0
Addis,0
Abebě.,0
Například,0
je,0
určitě,0
zapotřebí,0
uvítat,1
myšlenku,0
otevřít,1
delegaci,0
EU,0
se,0
zvláštním,0
"statusem,",0
dokud,0
nebude,0
skutečně,0
vyhlášena,1
nezávislost.,0
Súdán,1
se,0
chystá,1
"nám,",0
mezinárodnímu,0
"společenství,",0
pěkně,1
spočítat,1
cynismus,0
a,0
"krize,",0
které,0
mnohdy,0
spíše,0
z,1
rezignace,0
než,0
jiného,0
důvodu,0
považujeme,0
za,1
neřešitelné.,0
Pane,0
"předsedající,",0
"vítám,",1
že,0
jižní,0
Súdán,0
bude,0
"nezávislý,",0
a,0
blahopřeji,0
obyvatelům,0
jižního,0
Súdánu,0
k,1
"tomu,",0
že,0
toho,0
dosáhli.,1
Jak,0
před,1
chvílí,0
řekl,0
pan,0
kolega,0
poslanec,0
"Goerens,",0
jenž,0
byl,0
tak,0
laskav,0
a,0
obrátil,1
se,0
při,1
této,0
příležitosti,0
na,1
"mne,",0
lidé,0
mohou,0
mít,1
právo,0
na,1
"to,",0
aby,0
nemuseli,0
žít,0
podle,1
práva,0
šaría.,0
Jejich,0
právo,0
musíme,0
ctít.,0
Musím,0
nicméně,0
také,0
"podotknout,",0
že,0
jen,0
někteří,0
mají,1
to,0
"štěstí,",0
že,0
dostanou,1
možnost,0
získat,1
právo,0
na,1
takovou,0
svobodu.,0
Obyvatelé,0
nedalekého,0
Somálijska,0
tuto,0
možnost,0
nemají.,1
Přál,0
bych,0
"si,",0
abychom,0
přehodnotili,1
naši,0
"politiku,",0
která,0
se,0
až,1
dosud,0
vyznačovala,1
"tím,",0
že,0
jsme,0
neuznávali,0
úsilí,0
obyvatel,0
Somálijské,0
"republiky,",0
kteří,0
v,0
této,0
oblasti,0
vytvořili,0
nezávislý,0
a,0
demokratický,0
muslimský,0
"stát,",0
k,1
němuž,0
se,0
však,0
"chováme,",0
jako,0
by,0
neexistoval.,1
Pane,0
"předsedající,",0
co,0
se,0
týče,0
jižního,0
"Súdánu,",0
chtěl,0
bych,0
se,0
také,0
dotknout,1
stavu,0
této,0
země.,0
Jižní,0
Súdán,0
je,0
stále,0
nejchudší,0
zemí,0
v,0
"Africe,",0
a,0
to,0
i,0
navzdory,0
"tomu,",0
že,0
v,1
posledních,0
pěti,0
letech,0
mohl,1
využívat,1
přístupu,1
k,1
polovině,0
ropných,0
zdrojů,0
celého,0
Súdánu.,0
Vidím,1
zde,1
do,1
očí,1
bijící,1
"zaostalost,",0
která,0
byla,0
dosud,0
dána,0
přehlížením,0
a,0
nezájmem,0
ze,1
strany,1
Chartúmu.,0
Byl,0
bych,0
však,0
"rád,",0
kdyby,0
Evropská,0
unie,0
od,1
nynějška,0
kladla,1
důraz,0
na,1
"to,",0
že,0
tato,0
země,0
potřebuje,1
správu,0
a,0
"rozvoj,",0
a,0
nepomáhala,0
financovat,0
"zaostalost,",0
která,0
se,0
tak,0
snadno,0
může,0
v,1
budoucnu,0
v,0
jižním,0
Súdánu,0
rozmoci.,0
Pane,0
"předsedající,",0
v,1
dnešní,0
rozpravě,0
bychom,0
měli,0
odolat,1
pokušení,1
přehnaného,0
optimismu.,0
Předpovědi,0
dalšího,0
dění,0
v,0
Súdánu,0
jsou,0
jen,0
věštěním,1
z,1
křišťálové,1
koule.,1
I,0
přes,1
všechny,0
"naděje,",0
které,0
vzkřísilo,1
nedávné,0
"referendum,",0
bychom,0
neměli,0
"předpokládat,",0
že,0
tato,0
záležitost,0
je,0
již,0
vyřešena.,0
To,0
zdaleka,0
není,0
1.0,0
a,0
nikdo,0
zatím,0
"neví,",0
zda,0
bude,0
země,0
v,1
souladu,1
s,1
vůlí,0
obyvatelstva,0
jihu,0
rozdělena.,0
Další,0
problém,0
spočívá,1
v,1
"tom,",0
že,0
jižní,0
část,0
země,0
v,1
současnosti,0
sjednocuje,1
odpor,0
k,1
muslimskému,0
severu.,0
Až,0
tato,0
zášť,0
vyprchá,1
a,0
nadejde,1
čas,0
budovat,1
státní,0
"instituce,",0
hned,0
bude,0
patrná,0
křehká,1
rovnováha,0
mezi,1
třemi,0
kulturně,0
a,0
jazykově,0
odlišnými,0
kmeny.,0
Tato,0
otázka,1
bude,0
mít,1
velký,0
význam,0
a,0
měli,0
bychom,0
jí,0
již,0
teď,0
věnovat,1
pozornost.,0
Další,0
"otázka,",0
kterou,0
si,0
musíme,0
položit,1
a,0
najít,1
na,1
ni,0
"odpověď,",0
zní,1
takto:,0
proč,0
je,0
nyní,0
reálná,0
naděje,0
na,1
mírové,0
ukončení,0
"konfliktu,",0
který,0
trval,0
půl,0
století?,0
Odpověď,0
je,0
zřejmá:,0
kvůli,0
ropě.,0
Velké,0
zahraniční,0
"podniky,",0
bez,0
nichž,0
taková,0
chudá,0
země,0
není,0
schopna,1
těžit,0
"ropu,",0
a,0
představitelé,0
obou,0
částí,0
země,0
zavětřili,1
vůni,1
petrodolarů.,0
"Doufejme,",0
že,0
nás,0
nezaslepí,1
chamtivost,0
a,0
že,0
naše,0
touha,0
pomáhat,0
postačí,0
nejen,0
na,1
"to,",0
abychom,0
poskytovali,0
finanční,0
prostředky,0
na,1
budování,1
"státu,",0
ale,0
dovolí,1
nám,0
také,0
realizovat,0
"programy,",0
z,1
nichž,0
bude,0
mít,0
prospěch,0
společnost.,0
Pane,0
"předsedající,",0
před,1
referendem,0
jsme,0
měli,1
velké,0
obavy,0
z,1
průvodních,0
nepokojů,0
a,0
jsem,0
"ráda,",0
že,0
referendum,0
proběhlo,1
pokojně,0
a,0
bylo,0
platné.,0
Je,0
však,0
nutné,0
"zajistit,",0
jak,0
řekla,0
baronka,0
"Ashtonová,",0
aby,0
se,0
konalo,0
dodatečné,0
řádné,0
referendum,0
v,0
"Abyei,",0
ale,0
také,0
v,0
"oblasti,",0
v,0
níž,0
se,0
nachází,0
ropa.,0
Pozorovatelská,0
mise,0
Evropského,0
parlamentu,0
bude,0
zapotřebí,0
i,0
při,1
tomto,0
dodatečném,0
hlasování.,0
I,0
po,1
vyhlášení,1
nezávislosti,0
zůstane,0
jižní,0
Súdán,0
jednou,0
z,1
nejchudších,0
zemí,0
na,1
světě.,0
V,0
oblasti,0
působí,1
mnohé,0
slovenské,0
nevládní,0
organizace,0
a,0
je,0
"důležité,",0
aby,0
měly,0
potřebné,0
podmínky,0
pro,1
svou,0
práci.,0
Kdyby,0
někdo,0
uspořádal,1
atletické,0
přebory,0
mezi,1
"opicemi,",0
sešla,1
by,1
se,1
na,0
stupních,1
vítězů,0
různých,0
disciplín,0
docela,0
pestrá,1
škála,1
druhů.,0
Většina,0
opic,0
„trénuje“,1
jen,0
jednu,0
disciplínu.,0
Někteří,0
opičí,0
atleti,1
jsou,0
např.,0
výborní,0
"sprinteři,",1
ale,0
skoky,0
do,1
dálky,0
či,0
plavání,0
jim,0
moc,0
nejde.,0
Každý,0
druh,0
totiž,0
trénuje,1
jen,0
"to,",0
co,0
ve,0
svém,0
prostředí,0
nutně,0
potřebuje,0
k,1
přežití.,0
V,1
tom,0
pak,0
ale,0
dosahuje,1
vynikajících,0
výsledků.,0
Sprintem,0
do,1
bezpečí.,0
Za,1
královskou,1
disciplínu,0
se,0
v,1
atletice,0
považuje,0
sprint.,0
I,0
když,0
by,0
se,1
mohlo,0
"zdát,",1
že,0
převážně,0
stromové,0
opice,0
moc,0
dobří,0
běžci,0
"nebudou,",0
opak,0
je,0
pravdou.,0
V,0
savanách,0
subsaharské,0
Afriky,0
žije,1
"kočkodan,",0
který,0
díky,0
svému,0
„kníru“,1
dostal,0
jméno,0
husarský,0
(Erythrocebus,0
patas).,0
V,0
jeho,0
domovině,0
moc,0
stromů,0
"neroste,",0
během,0
dne,0
se,0
proto,0
pohybuje,0
převážně,0
na,0
zemi,0
a,0
na,0
stromy,0
se,0
uchyluje,0
jen,0
na,1
noc.,0
Na,0
stromech,0
nehledá,0
ani,0
bezpečí,0
před,1
