type,model_only,preds,human_only,poss,second_label,words,labels,direct_en_translation,type_label
,0,0,1,NOUN,1,dálkař,1,1,n
,0,0,0,NOUN,0,indri,0,,
,0,0,0,PUNCT,0,.,0,,
,0,0,0,ADJ,0,Celý,0,,
,0,0,0,NOUN,0,večer,0,,
,0,0,0,PRON,0,si,0,,
,0,0,0,VERB,0,hrál,0,,
,0,0,0,ADP,0,ve,0,,
,0,0,0,DET,0,svém,0,,
,0,0,0,NOUN,0,pokoji,0,,
,0,0,0,ADP,0,s,0,,
,0,0,0,PROPN,0,Olinem,0,,
,0,0,0,CCONJ,0,a,0,,
,0,0,0,PROPN,0,Laďou,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,ADV,0,přičemž,0,,
,0,0,0,PRON,0,jim,0,,
,0,0,0,VERB,0,říkal,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,ADV,0,jak,0,,
,0,0,0,PRON,0,jim,0,,
,0,0,0,VERB,0,závidí,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,SCONJ,0,že,0,,
,0,0,0,VERB,0,nemají,0,,
,0,0,0,NOUN,0,zámek,0,,
,0,0,0,CCONJ,0,a,0,,
,0,0,0,NOUN,0,dluhy,0,,
,0,0,0,PUNCT,0,.,0,,
,0,0,0,SCONJ,0,Když,0,,
,0,1,0,ADP,1,po,1,,
,0,0,0,NOUN,0,představení,0,,
,0,0,0,VERB,0,vyšel,0,,
,0,0,0,ADV,0,ven,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,AUX,0,byla,0,,
,0,0,0,ADV,0,už,0,,
,0,0,0,NOUN,0,tma,0,,
,0,0,0,PUNCT,0,.,0,,
,0,0,0,NOUN,0,Obchody,0,,
,0,0,0,ADV,0,už,0,,
,0,0,1,ADV,1,pomalu,1,,x
,0,1,0,VERB,1,zavíraly,1,1,c
,0,0,0,PUNCT,0,",",0,,
,0,0,0,CCONJ,0,ale,0,,
,0,0,1,ADP,1,na,1,,c
,0,0,0,ADJ,0,Staroměstském,0,,
,0,0,0,NOUN,0,náměstí,0,,
,0,0,0,AUX,0,bylo,0,,
,0,0,0,ADV,0,dosud,0,,
,0,0,0,ADV,0,rušno,0,,
,0,0,0,PUNCT,0,:,0,,
,1,1,0,VERB,0,vyhrávaly,0,,
,0,0,0,ADV,0,tu,0,,
,0,0,0,NOUN,0,koledy,0,,
,0,0,0,CCONJ,0,a,0,,
,0,0,0,ADP,0,pod,0,,
,0,0,0,ADJ,0,vysokou,0,,
,0,0,1,ADJ,1,rozzářenou,1,1,x
,0,0,0,NOUN,0,jedlí,0,,
,0,0,0,VERB,0,stála,0,,
,0,0,0,ADJ,0,realistická,0,,
,0,0,0,NOUN,0,maketa,0,,
,0,0,0,NOUN,0,chléva,0,,
,1,1,0,ADP,0,s,0,,
,0,0,0,ADJ,0,opravdovými,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,ADJ,0,živými,0,,
,0,0,0,NOUN,0,zvířaty,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,DET,0,která,0,,
,0,0,0,PRON,0,si,0,,
,0,0,0,ADJ,0,kolemjdoucí,0,,
,0,0,0,NOUN,0,děti,0,,
,0,0,0,VERB,0,mohly,0,,
,0,0,0,VERB,0,pohladit,0,,
,0,0,0,PUNCT,0,.,0,,
,0,1,0,ADP,1,ve,1,,
,0,0,0,NUM,0,štyři,0,,
,0,0,1,VERB,1,zavírám,1,1,c
,0,0,0,PUNCT,0,",",0,,
,0,0,0,CCONJ,0,a,0,,
,0,0,0,NUM,0,šesnác,0,,
,0,0,0,NUM,0,třicet,0,,
,0,0,0,NUM,0,pět,0,,
,0,0,0,PRON,0,mně,0,,
,0,0,0,VERB,0,jede,0,,
,0,0,0,NOUN,0,vlak,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,SCONJ,0,takže,0,,
,0,0,0,AUX,0,je,0,,
,1,1,0,PART,0,až,0,,
,0,1,0,ADP,1,po,1,,
,0,0,0,ADJ,0,páté,0,,
,0,0,0,ADP,0,ve,0,,
,0,0,0,PROPN,0,Veselí,0,,
,0,0,0,CCONJ,0,a,0,,
,0,0,0,PRON,0,já,0,,
,0,0,0,PART,0,fakt,0,,
,0,0,0,VERB,0,dojdu,0,,
,0,0,0,ADV,0,dom,0,,
,0,1,0,ADP,1,o,1,,
,0,0,0,NUM,0,půl,0,,
,0,0,0,ADJ,0,šesté,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,PRON,0,ty,0,,
,0,0,0,PART,0,jo,0,,
,0,0,0,CCONJ,0,a,0,,
,0,1,0,ADP,1,v,1,,
,0,0,0,DET,0,kolik,0,,
,0,0,0,VERB,0,vycház,0,,
,0,0,0,PUNCT,0,*,0,,
,0,1,0,ADP,1,v,1,,
,0,0,0,DET,0,kolik,0,,
,0,0,0,VERB,0,vstáváš,0,,
,0,0,0,ADV,0,ráno,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,INTJ,0,eee,0,,
,0,0,0,PUNCT,0,.,0,,
,0,0,0,NOUN,0,Ryba,0,,
,0,0,0,PRON,0,se,0,,
,0,0,0,VERB,0,potopila,0,,
,0,0,0,CCONJ,0,a,0,,
,0,0,0,ADV,0,hned,0,,
,0,0,0,ADV,0,vzápětí,0,,
,0,0,0,ADV,0,zase,0,,
,0,0,0,VERB,0,vynořila,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,CCONJ,0,avšak,0,,
,0,0,0,ADP,0,namísto,0,,
,0,0,0,ADJ,0,očekávaného,0,,
,0,0,0,ADJ,0,bystrého,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,PART,0,ne,0,,
,0,0,0,PUNCT,0,-,0,,
,0,0,0,SCONJ,0,li,0,,
,1,1,0,ADV,0,přímo,0,,
,0,0,0,ADJ,0,vděčného,0,,
,0,0,0,NOUN,0,švihnutí,0,,
,0,0,0,ADJ,0,ocasní,0,,
,1,1,0,NOUN,0,ploutví,0,,
,0,0,0,PRON,0,se,0,,
,0,0,0,ADV,0,pomalu,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,CCONJ,0,ale,0,,
,0,0,0,ADV,0,nezadržitelně,0,,
,0,0,0,VERB,0,otočila,0,,
,0,0,0,ADJ,0,světlým,0,,
,0,0,0,NOUN,0,břichem,0,,
,0,0,0,ADV,0,vzhůru,0,,
,0,0,0,PUNCT,0,.,0,,
,0,0,0,ADV,0,Jak,0,,
,0,0,0,VERB,0,upozorňoval,0,,
,0,0,0,NOUN,0,pan,0,,
,0,0,0,NOUN,0,poslanec,0,,
,0,0,0,PROPN,0,Milana,0,,
,0,0,0,CCONJ,0,a,0,,
,0,0,0,ADJ,0,další,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,ADV,0,ještě,0,,
,0,0,0,DET,0,mnoho,0,,
,0,0,0,DET,0,toho,0,,
,0,0,0,VERB,0,zbývá,0,,
,0,0,0,VERB,0,udělat,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,CCONJ,0,ale,0,,
,0,0,0,ADJ,0,mnozí,0,,
,0,0,0,ADP,0,z,0,,
,0,0,0,PRON,0,nás,0,,
,0,0,0,PRON,0,se,0,,
,0,0,0,VERB,0,připravovali,0,,
,0,1,0,ADP,1,na,1,,
,0,0,0,ADJ,0,nejhorší,0,,
,0,0,0,CCONJ,0,a,0,,
,0,0,0,VERB,0,očekávali,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,SCONJ,0,že,0,,
,0,0,0,ADV,0,znovu,0,,
,1,1,0,VERB,0,propukne,0,,
,0,0,0,ADJ,0,občanská,0,,
,0,0,0,NOUN,0,válka,0,,
,0,0,0,PUNCT,0,.,0,,
,0,0,0,AUX,0,Byl,0,,
,0,0,0,AUX,0,bych,0,,
,0,0,0,CCONJ,0,však,0,,
,0,0,0,ADJ,0,rád,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,_,0,kdyby,0,,
,0,0,0,ADJ,0,Evropská,0,,
,0,0,0,NOUN,0,unie,0,,
,0,1,0,ADP,1,od,1,,
,0,0,0,NOUN,0,nynějška,0,,
,0,1,0,VERB,1,kladla,1,0,c
,1,1,0,NOUN,0,důraz,0,,
,0,1,0,ADP,1,na,1,,
,0,0,0,DET,0,to,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,SCONJ,0,že,0,,
,0,0,0,DET,0,tato,0,,
,0,0,0,NOUN,0,země,0,,
,0,1,0,VERB,1,potřebuje,1,1,x
,0,0,0,NOUN,0,správu,0,,
,0,0,0,CCONJ,0,a,0,,
,0,0,0,NOUN,0,rozvoj,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,CCONJ,0,a,0,,
,0,0,0,VERB,0,nepomáhala,0,,
,0,0,0,VERB,0,financovat,0,,
,0,0,0,NOUN,0,zaostalost,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,DET,0,která,0,,
,0,0,0,PRON,0,se,0,,
,0,0,0,ADV,0,tak,0,,
,0,0,0,ADV,0,snadno,0,,
,0,0,0,VERB,0,může,0,,
,0,1,0,ADP,1,v,1,,
,0,0,0,NOUN,0,budoucnu,0,,
,1,1,0,ADP,0,v,0,,
,0,0,0,ADJ,0,jižním,0,,
,0,0,0,PROPN,0,Súdánu,0,,
,1,1,0,VERB,0,rozmoci,0,,
,0,0,0,PUNCT,0,.,0,,
,0,0,0,ADP,0,Na,0,,
,0,0,0,NOUN,0,stromech,0,,
,0,0,0,VERB,0,nehledá,0,,
,0,0,0,CCONJ,0,ani,0,,
,0,0,0,NOUN,0,bezpečí,0,,
,0,1,0,ADP,1,před,1,,
,0,0,0,NOUN,0,nepřáteli,0,,
,0,0,0,CCONJ,0,a,0,,
,0,0,1,VERB,1,dává,1,0,c
,0,0,0,NOUN,0,přednost,0,,
,0,0,0,ADJ,0,rychlému,0,,
,0,0,0,NOUN,0,útěku,0,,
,0,0,0,ADP,0,po,0,,
,0,0,0,NOUN,0,zemi,0,,
,0,0,0,PUNCT,0,.,0,,
,0,1,0,ADP,1,O,1,,
,0,0,0,DET,0,tom,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,ADV,0,jak,0,,
,0,0,0,ADJ,0,skvělý,0,,
,0,0,0,AUX,0,je,0,,
,0,0,0,NOUN,0,plavec,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,1,VERB,1,svědčí,1,0,c
,0,0,0,DET,0,to,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,SCONJ,0,že,0,,
,0,0,0,VERB,0,má,0,,
,0,0,1,ADP,1,ve,1,,c
,0,0,0,DET,0,svém,0,,
,0,1,0,ADJ,1,pestrém,1,0,c
,0,0,0,NOUN,0,jídelníčku,0,,
,0,0,0,ADJ,0,zařazeny,0,,
,0,0,0,CCONJ,0,i,0,,
,0,0,0,NOUN,0,ryby,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,DET,0,které,0,,
,0,0,0,PRON,0,si,0,,
,0,0,0,VERB,0,dovede,0,,
,0,0,0,ADP,0,ve,0,,
,0,0,0,NOUN,0,vodě,0,,
,0,0,0,DET,0,sám,0,,
,0,0,0,VERB,0,ulovit,0,,
,0,0,0,PUNCT,0,.,0,,
,0,0,0,X,0,dlúhú,0,,
,0,0,0,NOUN,0,sukňu,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,NOUN,0,klobouk,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,ADJ,0,háčkované,0,,
,0,0,0,NOUN,0,rukavičky,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,PROPN,0,Nikolce,0,,
,0,0,0,ADV,0,taky,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,NOUN,0,šatičky,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,NOUN,0,klobouček,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,CCONJ,0,a,0,,
,0,0,0,DET,0,ty,0,,
,0,0,0,ADP,0,pro,0,,
,0,0,0,PRON,0,ňu,0,,
,0,0,0,VERB,0,máš,0,,
,0,0,0,SCONJ,0,jako,0,,
,0,0,0,DET,0,ňáké,0,,
,0,0,0,NOUN,0,šatičky,0,,
,0,0,0,ADJ,0,aj,0,,
,0,0,0,PUNCT,0,.,0,,
,0,0,0,PART,0,no,0,,
,0,0,0,PART,0,jo,0,,
,0,0,0,PUNCT,0,?,0,,
,0,0,0,PART,0,no,0,,
,0,0,0,VERB,0,mám,0,,
,0,0,0,PUNCT,0,.,0,,
,0,0,0,SCONJ,0,takže,0,,
,0,0,0,DET,0,to,0,,
,0,0,0,AUX,0,bylo,0,,
,0,0,0,ADV,0,tak,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,PART,0,aha,0,,
,0,0,0,PUNCT,0,.,0,,
,0,0,0,ADV,0,tak,0,,
,0,0,0,DET,0,to,0,,
,0,0,0,AUX,0,je,0,,
,0,0,0,ADJ,0,dobré,0,,
,0,0,0,PART,0,ne,0,,
,0,0,0,PUNCT,0,?,0,,
,0,0,0,PART,0,tož,0,,
,0,0,0,PART,0,ba,0,,
c,1,1,0,ADV,1,jasně,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,DET,0,to,0,,
,0,0,0,AUX,0,je,0,,
,0,0,0,ADJ,0,výborné,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,SCONJ,0,takže,0,,
,0,0,0,ADV,0,tak,0,,
,0,0,0,ADV,0,tak,0,,
,0,0,0,ADV,0,tak,0,,
,0,0,0,ADV,0,tak,0,,
,0,0,1,ADV,1,sem,1,,c
,0,0,1,PRON,1,si,1,,c
,0,0,1,VERB,1,říkala,1,0,c
,0,0,0,ADV,0,jak,0,,
,0,0,0,AUX,0,bude,0,,
,0,1,0,ADP,1,o,1,,c
,0,0,0,NOUN,0,víkendu,0,,
,0,0,0,ADV,0,krásně,0,,
,0,0,0,PUNCT,0,.,0,,
,0,0,0,ADP,0,Navzdory,0,,
,0,0,0,ADJ,0,českému,0,,
,0,0,0,NOUN,0,jménu,0,,
,0,0,1,VERB,1,nežije,1,0,c
,0,0,0,ADV,0,jen,0,,
,0,0,0,ADP,0,na,0,,
,0,0,0,PROPN,0,Jávě,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,VERB,0,obývá,0,,
,0,0,0,DET,0,všechny,0,,
,0,0,0,ADJ,0,indonéské,0,,
,0,0,0,NOUN,0,ostrovy,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,ADJ,0,běžný,0,,
,0,0,0,AUX,0,je,0,,
,0,0,0,CCONJ,0,i,0,,
,0,0,0,ADP,0,v,0,,
,0,0,0,ADV,0,téměř,0,,
,0,0,0,ADJ,0,celé,0,,
,0,0,0,ADJ,0,Zadní,0,,
,0,0,0,PROPN,0,Indii,0,,
,0,0,0,PUNCT,0,.,0,,
,0,0,0,ADV,0,Přesně,0,,
,0,0,0,ADV,0,takto,0,,
,0,0,0,VERB,0,vypadají,0,,
,0,0,0,ADJ,0,opičí,0,,
,0,0,1,NOUN,1,vzpěrači,1,1,n
,0,0,0,NOUN,0,malpy,0,,
,0,0,0,ADJ,0,pruhohřbeté,0,,
,0,0,0,PUNCT,0,(,0,,
,0,0,0,X,0,Sapajus,0,,
,0,0,0,X,0,libidinosus,0,,
,0,0,0,PUNCT,0,),0,,
,0,0,0,PUNCT,0,.,0,,
,0,0,0,PRON,0,mně,0,,
,0,0,1,PRON,1,se,1,,
,0,0,1,VERB,1,zdá,1,0,c
,0,0,0,SCONJ,0,že,0,,
,0,0,0,AUX,0,by,0,,
,0,0,0,VERB,0,mohl,0,,
,0,0,0,AUX,0,být,0,,
,0,0,0,ADV,0,trošk,0,,
,0,0,0,PUNCT,0,*,0,,
,0,0,0,SCONJ,0,jako,0,,
,0,0,0,ADJ,0,volnější,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,SCONJ,0,že,0,,
,0,0,0,SCONJ,0,že,0,,
,0,0,0,AUX,0,je,0,,
,0,0,0,PRON,0,jí,0,,
,0,0,0,ADV,0,trochu,0,,
,0,0,0,ADJ,0,malý,0,,
,0,0,0,SCONJ,0,jako,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,CCONJ,0,ale,0,,
,0,0,0,DET,0,to,0,,
,0,0,0,AUX,0,by,0,,
,0,0,0,PRON,0,se,0,,
,0,0,0,VERB,0,dalo,0,,
,0,0,0,VERB,0,roztahnút,0,,
,0,0,0,ADJ,0,vlhké,0,,
,0,0,0,SCONJ,0,dyby,0,,
,0,0,0,DET,0,to,0,,
,0,0,0,AUX,0,bylo,0,,
,0,0,0,PUNCT,0,.,0,,
,0,0,0,NOUN,0,Cestou,0,,
,0,0,0,PRON,0,se,0,,
,0,0,0,VERB,0,koulovali,0,,
,0,0,0,ADJ,0,špinavým,0,,
,0,0,0,ADJ,0,městským,0,,
,0,0,0,NOUN,0,sněhem,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,VERB,0,nahlíželi,0,,
,1,1,0,ADP,0,do,0,,
,0,0,0,ADJ,0,osvětlených,0,,
,0,0,0,NOUN,0,výloh,0,,
,0,0,0,ADJ,0,přecpaných,0,,
,0,0,0,NOUN,0,obchodů,0,,
,0,0,0,CCONJ,0,a,0,,
,0,0,0,ADP,0,v,0,,
,0,0,0,NUM,0,jednom,0,,
,0,0,0,ADP,0,z,0,,
,0,0,0,PRON,0,nich,0,,
,0,0,0,ADV,0,společně,0,,
,0,0,0,VERB,0,vybrali,0,,
,0,0,0,NOUN,0,dárek,0,,
,0,0,0,NOUN,0,mámě,0,,
,0,0,0,PUNCT,0,.,0,,
,0,1,0,ADP,1,Za,1,,
,0,1,0,ADJ,1,královskou,1,0,c
,0,0,0,NOUN,0,disciplínu,0,,
,0,0,0,PRON,0,se,0,,
,0,1,0,ADP,1,v,1,,
,0,0,0,NOUN,0,atletice,0,,
,0,0,0,VERB,0,považuje,0,,
,0,0,0,NOUN,0,sprint,0,,
,0,0,0,PUNCT,0,.,0,,
,0,0,0,CCONJ,0,a,0,,
,0,0,0,PRON,0,co,0,,
,0,0,0,PROPN,0,Nikolka,0,,
,0,0,0,SCONJ,0,kdyžs,0,,
,0,0,0,PRON,0,jí,0,,
,0,0,0,DET,0,to,0,,
,0,0,0,VERB,0,dala,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,VERB,0,říká,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,PRON,0,já,0,,
,0,0,0,DET,0,takový,0,,
,0,0,0,ADV,0,doma,0,,
,0,0,0,VERB,0,mám,0,,
,0,0,0,PUNCT,0,.,0,,
,0,0,0,CCONJ,0,Jednak,0,,
,0,0,1,ADV,1,tu,1,,
,0,0,0,AUX,0,byli,0,,
,0,0,0,NOUN,0,rodiče,0,,
,0,0,0,CCONJ,0,a,0,,
,0,0,0,ADJ,0,ostatní,0,,
,0,0,0,NOUN,0,příbuzní,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,CCONJ,0,a,0,,
,0,0,0,ADV,0,pak,0,,
,0,0,1,ADV,1,tu,1,,
,0,0,0,AUX,0,byl,0,,
,0,0,0,DET,0,jeho,0,,
,0,0,0,NOUN,0,syn,0,,
,0,0,0,PUNCT,0,.,0,,
,0,0,0,CCONJ,0,I,0,,
,0,1,0,ADP,1,přes,1,,
,0,0,0,DET,0,všechny,0,,
,0,0,0,NOUN,0,naděje,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,DET,0,které,0,,
,0,1,0,VERB,1,vzkřísilo,1,1,c
,0,0,0,ADJ,0,nedávné,0,,
,0,0,0,NOUN,0,referendum,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,AUX,0,bychom,0,,
,0,0,0,VERB,0,neměli,0,,
,0,0,0,VERB,0,předpokládat,0,,
,0,0,0,PUNCT,0,",",0,,
,0,0,0,SCONJ,0,že,0,,
,0,0,0,DET,0,tato,0,,
,0,0,0,NOUN,0,záležitost,0,,
,0,0,0,AUX,0,je,0,,
,0,0,0,ADV,0,již,0,,
,1,1,0,ADJ,0,vyřešena,0,,
,0,0,0,PUNCT,0,.,0,,
,0,0,0,ADJ,0,Neuvěřitelné,0,,
,0,0,1,NOUN,1,výkony,1,0,c
,0,0,0,NOUN,0,opic,0,,
,0,0,0,PUNCT,0,.,0,,
,0,0,0,NOUN,0,Většina,0,,
,0,0,0,NOUN,0,opic,0,,
,0,0,0,PUNCT,0,„,0,,
,0,1,0,VERB,1,trénuje,1,1,n
,0,0,0,PUNCT,0,“,0,,
,0,0,0,ADV,0,jen,0,,
,0,0,0,NUM,0,jednu,0,,
,0,0,0,NOUN,0,disciplínu,0,,
,0,0,0,PUNCT,0,.,0,,
,0,0,0,VERB,0,Sli,0,,
,0,0,0,ADP,0,se,0,,
,0,0,0,NOUN,0,synem,0,,
,0,0,0,ADP,0,do,0,,
,0,0,0,NOUN,0,kina,0,,
,0,0,0,PUNCT,0,",",0,,
,1,1,0,ADP,0,po,0,,
,0,0,0,NOUN,0,filmu,0,,
,0,0,0,PRON,0,si,0,,
,0,0,0,VERB,0,dali,0,,
,0,0,0,ADP,0,v,0,,
,0,0,0,NOUN,0,pizzerii,0,,
,0,0,0,NOUN,0,oběd,0,,
,0,0,0,CCONJ,0,a,0,,
,0,0,0,ADV,0,nakonec,0,,
,0,0,0,PRON,0,se,0,,
,0,0,0,VERB,0,stavili,0,,
,0,0,0,ADV,0,doma,0,,
,0,0,0,ADP,0,pro,0,,
,0,0,0,NOUN,0,kapra,0,,
,0,0,0,PUNCT,0,.,0,,
,0,1,0,NOUN,1,Podpora,1,1,c
,0,0,0,ADJ,0,reformních,0,,
,0,0,0,NOUN,0,procesů,0,,
,0,0,0,CCONJ,0,a,0,,
,0,1,0,NOUN,1,plnění,1,1,c
,0,0,0,ADJ,0,existujících,0,,
,0,0,0,NOUN,0,nařízení,0,,
,0,1,0,VERB,1,posune,1,1,c
,0,0,0,NOUN,0,proces,0,,
,0,1,0,NOUN,1,vstupu,1,1,c
,0,0,0,PROPN,0,Turecka,0,,
,0,1,0,ADV,1,dopředu,1,1,c
,0,0,0,PUNCT,0,",",0,,
,0,1,0,NOUN,1,směrem,1,1,c
,0,1,0,ADP,1,k,1,,
