word,ann1,ann2,ann3,ann4
že,0,0,0,
toho,0,0,0,
dosáhli.,1,1,1,0
Jak,0,0,0,
před,1,1,1,
chvílí,0,0,0,
řekl,0,0,0,
pan,0,0,0,
kolega,0,0,0,
poslanec,0,0,0,
"Goerens,",0,0,0,
jenž,0,0,0,
byl,0,0,0,
tak,0,0,0,
laskav,0,0,0,
a,0,0,0,
obrátil,1,1,0,
se,0,0,0,
při,1,1,1,
této,0,0,0,
příležitosti,0,0,0,
na,1,1,1,
"mne,",0,0,0,
lidé,0,0,0,
mohou,0,0,0,
mít,1,1,1,0
právo,0,0,0,
na,1,1,1,
"to,",0,0,0,
aby,0,0,0,
nemuseli,0,0,0,
žít,0,0,0,
podle,0,1,1,
práva,0,0,0,
šaría.,0,0,0,
Jejich,0,0,0,
právo,0,0,0,
musíme,0,0,0,
ctít.,0,0,1,
Musím,0,0,0,
nicméně,0,0,0,
také,0,0,0,
"podotknout,",0,0,0,
že,0,0,0,
jen,0,0,0,
někteří,0,0,0,
mají,1,0,1,
to,0,0,0,
"štěstí,",0,0,0,
že,0,0,0,
dostanou,1,0,1,
možnost,0,0,0,
získat,1,0,1,
právo,0,0,0,
na,1,1,1,
takovou,0,0,0,
svobodu.,0,0,0,
Obyvatelé,0,0,0,
nedalekého,0,0,0,
Somálijska,0,0,0,
tuto,0,0,0,
možnost,0,0,0,
nemají.,1,0,1,
Přál,0,0,0,
bych,0,0,0,
"si,",0,0,0,
abychom,0,0,0,
přehodnotili,1,0,1,
naši,0,0,0,
"politiku,",0,0,0,
která,0,0,0,
se,0,0,0,
až,1,1,0,
dosud,0,0,0,
vyznačovala,1,1,1,0
"tím,",0,0,0,
že,0,0,0,
jsme,0,0,0,
neuznávali,0,0,0,
úsilí,0,0,0,
obyvatel,0,0,0,
Somálijské,0,0,0,
"republiky,",0,0,0,
kteří,0,0,0,
v,0,0,0,
této,0,0,0,
oblasti,0,0,0,
vytvořili,0,0,1,
nezávislý,0,0,0,
a,0,0,0,
demokratický,0,0,0,
muslimský,0,0,0,
"stát,",0,0,0,
k,1,1,1,
němuž,0,0,0,
se,0,0,0,
však,0,0,0,
"chováme,",1,0,0,
jako,0,0,0,
by,0,0,0,
neexistoval.,1,1,1,0
Pane,0,0,0,
"předsedající,",0,0,0,
co,0,0,0,
se,0,0,0,
týče,0,0,0,
jižního,0,0,0,
"Súdánu,",0,0,0,
chtěl,0,0,0,
bych,0,0,0,
se,0,0,0,
také,0,0,0,
dotknout,1,1,1,0
stavu,0,0,0,
této,0,0,0,
země.,0,0,0,
Jižní,0,0,0,
Súdán,0,0,0,
je,0,0,0,
stále,0,0,0,
nejchudší,0,0,0,
zemí,0,0,0,
v,0,0,0,
"Africe,",0,0,0,
a,0,0,0,
to,0,0,0,
i,0,0,0,
navzdory,0,0,0,
"tomu,",0,0,0,
že,0,0,0,
v,1,1,1,
posledních,0,0,0,
pěti,0,0,0,
letech,0,0,0,
mohl,0,1,1,
využívat,1,1,0,
přístupu,1,0,1,
k,0,1,1,
polovině,0,0,0,
ropných,0,0,0,
zdrojů,0,0,1,
celého,0,0,0,
Súdánu.,0,0,0,
Vidím,1,1,1,0
zde,0,1,1,
do,0,1,1,
očí,1,0,1,
bijící,1,1,1,0
"zaostalost,",0,0,0,
která,0,0,0,
byla,0,0,0,
dosud,0,0,0,
dána,1,0,0,
přehlížením,0,0,1,
a,0,0,0,
nezájmem,0,0,0,
ze,1,1,1,
strany,1,0,1,
Chartúmu.,0,0,0,
Byl,0,0,0,
bych,0,0,0,
však,0,0,0,
"rád,",0,0,0,
kdyby,0,0,0,
Evropská,0,0,0,
unie,0,0,0,
od,1,1,1,
nynějška,0,0,0,
kladla,1,1,1,0
důraz,0,0,0,
na,0,1,1,
"to,",0,0,0,
že,0,0,0,
tato,0,0,0,
země,0,0,0,
potřebuje,1,0,1,
správu,0,0,0,
a,0,0,0,
"rozvoj,",0,0,0,
a,0,0,0,
nepomáhala,0,0,1,
financovat,0,0,0,
"zaostalost,",0,0,0,
která,0,0,0,
se,0,0,0,
tak,0,0,0,
snadno,0,0,0,
může,0,0,0,
v,1,1,1,
budoucnu,0,0,0,
v,0,0,0,
jižním,0,0,0,
Súdánu,0,0,0,
rozmoci.,0,0,1,
Pane,0,0,0,
"předsedající,",0,0,0,
v,1,1,1,
dnešní,0,0,0,
rozpravě,0,0,0,
bychom,0,0,0,
měli,0,0,0,
odolat,1,0,1,
pokušení,1,0,1,
přehnaného,0,0,0,
optimismu.,0,0,0,
Předpovědi,0,0,0,
dalšího,0,0,0,
dění,0,0,0,
v,0,0,0,
Súdánu,0,0,0,
jsou,0,0,0,
jen,0,0,0,
věštěním,1,0,1,
z,1,1,1,
křišťálové,1,1,1,0
koule.,1,1,1,0
I,0,0,0,
přes,1,1,0,
všechny,0,0,0,
"naděje,",0,0,0,
které,0,0,0,
vzkřísilo,1,1,1,0
nedávné,0,0,0,
"referendum,",0,0,0,
bychom,0,0,0,
neměli,0,0,0,
"předpokládat,",0,0,0,
že,0,0,0,
tato,0,0,0,
záležitost,0,0,0,
je,0,0,0,
již,0,0,0,
vyřešena.,0,0,0,
To,0,0,0,
zdaleka,1,0,0,
není,0,0,0,
1.0,0.0,0.0,0.0,
a,0,0,0,
nikdo,0,0,0,
zatím,0,0,0,
"neví,",0,0,0,
zda,0,0,0,
bude,0,0,0,
země,0,0,0,
v,1,1,1,
souladu,1,0,1,
s,1,1,1,
vůlí,0,1,0,
obyvatelstva,0,0,0,
jihu,0,0,0,
rozdělena.,0,0,1,
Další,0,0,0,
problém,0,0,0,
spočívá,1,1,1,0
v,1,1,1,
"tom,",0,0,0,
že,0,0,0,
jižní,0,0,0,
část,0,0,0,
země,0,0,0,
v,1,1,1,
současnosti,0,0,0,
sjednocuje,1,0,1,
odpor,1,0,0,
k,1,1,1,
muslimskému,0,0,0,
severu.,0,0,0,
Až,0,1,0,
tato,0,0,0,
zášť,0,0,0,
vyprchá,1,1,1,0
a,0,0,0,
nadejde,1,1,1,0
čas,0,0,0,
budovat,1,1,1,0
státní,0,0,0,
"instituce,",0,0,0,
hned,0,0,0,
bude,0,0,0,
patrná,1,0,0,
křehká,1,1,1,0
rovnováha,0,0,1,
mezi,1,0,1,
třemi,0,0,0,
kulturně,0,0,0,
a,0,0,0,
jazykově,0,0,0,
odlišnými,0,0,0,
kmeny.,0,0,0,
Tato,0,0,0,
otázka,1,0,1,
bude,0,0,0,
mít,1,0,1,
velký,0,0,0,
význam,0,0,0,
a,0,0,0,
měli,0,0,0,
bychom,0,0,0,
jí,0,0,0,
již,0,0,0,
teď,0,0,0,
věnovat,1,1,1,0
pozornost.,0,0,0,
Další,0,0,0,
"otázka,",0,0,0,
kterou,0,0,0,
si,0,0,0,
musíme,0,0,0,
položit,1,1,1,0
a,0,0,0,
najít,1,0,1,
na,1,0,1,
ni,0,0,0,
"odpověď,",0,0,0,
zní,1,0,1,
takto:,0,0,0,
proč,0,0,0,
je,0,0,0,
nyní,0,0,0,
reálná,1,0,0,
naděje,0,0,0,
na,0,1,1,
mírové,0,0,0,
ukončení,0,0,0,
"konfliktu,",0,0,0,
který,0,0,0,
trval,0,0,0,
půl,0,0,0,
století?,0,0,0,
Odpověď,0,0,0,
je,0,0,0,
zřejmá:,0,0,0,
kvůli,1,0,0,
ropě.,0,0,0,
Velké,0,0,0,
zahraniční,0,0,0,
"podniky,",0,0,0,
bez,0,0,0,
nichž,0,0,0,
taková,0,0,0,
chudá,1,0,0,
země,0,0,0,
není,0,0,1,
schopna,1,0,1,
těžit,0,0,1,
"ropu,",0,0,0,
a,0,0,0,
představitelé,0,0,0,
obou,0,0,0,
částí,0,0,0,
země,0,0,0,
zavětřili,1,1,1,0
vůni,1,0,1,
petrodolarů.,0,0,0,
"Doufejme,",0,0,0,
že,0,0,0,
nás,0,0,0,
nezaslepí,1,1,1,0
chamtivost,0,0,0,
a,0,0,0,
že,0,0,0,
naše,0,0,0,
touha,1,0,0,
pomáhat,0,0,0,
postačí,0,0,0,
nejen,0,0,0,
na,1,1,1,
"to,",0,0,0,
abychom,0,0,0,
poskytovali,0,0,0,
finanční,0,0,0,
prostředky,0,0,0,
na,1,1,1,
budování,1,1,1,0
"státu,",0,0,0,
ale,0,0,0,
dovolí,1,0,1,
nám,0,0,0,
také,0,0,0,
realizovat,0,0,0,
"programy,",0,0,0,
z,1,1,1,
nichž,0,0,0,
bude,0,0,0,
mít,1,0,0,
prospěch,0,0,0,
společnost.,0,0,0,
Pane,0,0,0,
"předsedající,",0,0,0,
před,1,1,1,
referendem,0,0,0,
jsme,0,0,0,
měli,1,0,1,
velké,1,0,0,
obavy,0,0,0,
z,1,1,1,
průvodních,0,0,0,
nepokojů,0,0,0,
a,0,0,0,
jsem,0,0,0,
"ráda,",0,0,0,
že,0,0,0,
referendum,0,0,0,
proběhlo,1,1,1,0
pokojně,0,0,0,
a,0,0,0,
bylo,0,0,0,
platné.,0,0,0,
Je,0,0,0,
však,0,0,0,
nutné,0,0,0,
"zajistit,",0,0,0,
jak,0,0,0,
řekla,0,0,0,
baronka,0,0,0,
"Ashtonová,",0,0,0,
aby,0,0,0,
se,0,0,0,
konalo,0,0,1,
dodatečné,0,0,0,
řádné,0,0,0,
referendum,0,0,0,
v,0,0,0,
"Abyei,",0,0,0,
ale,0,0,0,
také,0,0,0,
v,0,0,0,
"oblasti,",0,0,0,
v,0,0,0,
níž,0,0,0,
se,0,0,0,
nachází,0,0,0,
ropa.,0,0,0,
Pozorovatelská,0,0,0,
mise,0,0,0,
Evropského,0,0,0,
parlamentu,0,0,0,
bude,0,0,0,
zapotřebí,0,0,0,
i,0,0,0,
při,1,1,1,
tomto,0,0,0,
dodatečném,0,0,0,
hlasování.,0,0,0,
I,0,0,0,
po,1,1,1,
vyhlášení,1,1,1,NLE
nezávislosti,0,0,0,
zůstane,1,0,0,
jižní,0,0,0,
Súdán,0,0,0,
jednou,0,0,0,
z,1,1,1,
nejchudších,1,0,0,
zemí,0,0,0,
na,1,1,0,
světě.,0,0,0,
V,0,0,0,
oblasti,0,0,0,
působí,1,0,1,
mnohé,0,0,0,
slovenské,0,0,0,
nevládní,0,0,0,
organizace,0,0,0,
a,0,0,0,
je,0,0,0,
"důležité,",0,0,0,
aby,0,0,0,
měly,0,0,0,
potřebné,0,0,0,
podmínky,0,0,0,
pro,1,0,1,
svou,0,0,0,
práci.,0,0,0,
