word,ann1,ann2,ann3,ann4,ann5,ann6
"jedu,",0.0,0.0,0.0,,,
eee.,0.0,0.0,0.0,,,
tam.1,0.0,0.0,0.0,,,
je.1,0.0,0.0,0.0,,,
totiž,0.0,0.0,0.0,,,
pracovní,0.0,0.0,0.0,,,
doba,0.0,0.0,0.0,,,
od.1,1.0,1.0,1.0,,,
osmi,0.0,0.0,0.0,,,
do.1,1.0,1.0,1.0,,,
"čtyřech,",0.0,0.0,0.0,,,
otevřené,1.0,0.0,1.0,,,
je.2,0.0,0.0,0.0,,,
tam.2,0.0,0.0,0.0,,,
od.2,1.0,1.0,1.0,,,
osmi.1,0.0,0.0,0.0,,,
do.2,1.0,1.0,1.0,,,
čtyř.,0.0,0.0,0.0,,,
takže.1,0.0,0.0,0.0,,,
já.,0.0,0.0,0.0,,,
vyjedu,1.0,0.0,1.0,,,
v.1,1.0,1.0,1.0,,,
"sedum,",0.0,0.0,0.0,,,
ráno,0.0,0.0,0.0,,,
z,0.0,0.0,0.0,,,
Veselí.,0.0,0.0,0.0,,,
ve,1.0,1.0,1.0,,,
štyři,0.0,0.0,0.0,,,
"zavírám,",1.0,0.0,1.0,,,
a.4,0.0,0.0,0.0,,,
šesnác,0.0,0.0,0.0,,,
třicet,0.0,0.0,0.0,,,
pět,0.0,0.0,0.0,,,
mně,0.0,0.0,0.0,,,
jede,0.0,0.0,0.0,,,
"vlak,",0.0,0.0,0.0,,,
takže.2,0.0,0.0,0.0,,,
je.3,0.0,0.0,0.0,,,
až,0.0,0.0,0.0,,,
po,1.0,1.0,1.0,,,
páté,0.0,0.0,0.0,,,
ve.1,0.0,0.0,0.0,,,
Veselí,0.0,0.0,0.0,,,
a.5,0.0,0.0,0.0,,,
já.10,0.0,0.0,0.0,,,
fakt.1,0.0,0.0,0.0,,,
dojdu,0.0,0.0,0.0,,,
dom.1,0.0,0.0,0.0,,,
o.1,1.0,1.0,1.0,,,
půl.1,0.0,0.0,0.0,,,
"šesté,.1",0.0,0.0,0.0,,,
ty,0.0,0.0,0.0,,,
jo,0.0,0.0,0.0,,,
a.6,0.0,0.0,0.0,,,
v.2,1.0,1.0,1.0,,,
kolik,0.0,0.0,0.0,,,
vycház*,0.0,0.0,0.0,,,
v.3,1.0,1.0,1.0,,,
kolik.1,0.0,0.0,0.0,,,
vstáváš,0.0,0.0,1.0,,,
"ráno,",0.0,0.0,0.0,,,
eee..1,0.0,0.0,0.0,,,
v.4,1.0,1.0,1.0,,,
šest,0.0,0.0,0.0,,,
hmm,0.0,0.0,0.0,,,
"jo,",0.0,0.0,0.0,,,
"takže,",0.0,0.0,0.0,,,
vidíš.,0.0,1.0,1.0,,,
jako.,0.0,0.0,0.0,,,
v.5,0.0,0.0,0.0,,,
Kyjově.1,0.0,0.0,0.0,,,
zas,0.0,0.0,0.0,,,
odpočívám,0.0,0.0,0.0,,,
teda,0.0,0.0,0.0,,,
tam.3,0.0,0.0,0.0,,,
nikdo,0.0,0.0,0.0,,,
"nechodí,",0.0,1.0,1.0,,,
ale.6,0.0,0.0,0.0,,,
"tož,",0.0,0.0,0.0,,,
je.4,0.0,0.0,0.0,,,
to.10,0.0,0.0,0.0,,,
tam.,0.0,0.0,0.0,,,
nadlúho.,0.0,0.0,0.0,,,
a.7,0.0,0.0,0.0,,,
nechodí,0.0,1.0,1.0,,,
tam.4,0.0,0.0,0.0,,,
moc,0.0,0.0,0.0,,,
lidí,0.0,0.0,0.0,,,
jako?,0.0,0.0,0.0,,,
tam.5,0.0,0.0,0.0,,,
nechodí.,0.0,1.0,1.0,,,
tam.6,0.0,0.0,0.0,,,
fakt.2,0.0,0.0,0.0,,,
třeba,0.0,0.0,0.0,,,
je.5,0.0,0.0,0.0,,,
deset,0.0,0.0,0.0,,,
lidí.1,0.0,0.0,0.0,,,
za,1.0,1.0,1.0,,,
"den,",0.0,0.0,0.0,,,
a.8,0.0,0.0,0.0,,,
ve.2,0.0,0.0,0.0,,,
Veselí.1,0.0,0.0,0.0,,,
víc.,0.0,0.0,0.0,,,
"jako,",0.0,0.0,0.0,,,
no,0.0,0.0,0.0,,,
ve.3,0.0,0.0,0.0,,,
Veselí.2,0.0,0.0,0.0,,,
jeden,0.0,0.0,0.0,,,
za.1,1.0,1.0,1.0,,,
"druhým,",0.0,0.0,0.0,,,
a.9,0.0,0.0,0.0,,,
jakto?,0.0,0.0,0.0,,,
jak.,0.0,0.0,0.0,,,
tož.1,0.0,0.0,0.0,,,
v.6,0.0,0.0,0.0,,,
Kyjově.2,0.0,0.0,0.0,,,
"máme,",0.0,0.0,0.0,,,
tisíc,0.0,0.0,0.0,,,
pojištěnců,0.0,0.0,0.0,,,
u,1.0,1.0,1.0,,,
nasí,0.0,0.0,0.0,,,
u.1,1.0,1.0,1.0,,,
naší,0.0,0.0,0.0,,,
"pojišťovny,",0.0,0.0,0.0,,,
a.10,0.0,0.0,0.0,,,
ve.4,0.0,0.0,0.0,,,
Veselí.3,0.0,0.0,0.0,,,
přes,1.0,1.0,1.0,,,
šest.1,0.0,0.0,0.0,,,
"tisíc,",0.0,0.0,0.0,,,
takže.3,0.0,0.0,0.0,,,
vlastně.1,0.0,0.0,0.0,,,
logicky,0.0,0.0,0.0,,,
k,1.0,1.0,1.0,,,
nám,0.0,0.0,0.0,,,
chodí,1.0,1.0,1.0,,,
šestkrát,0.0,0.0,0.0,,,
tolik,0.0,0.0,0.0,,,
"lidí,",0.0,0.0,0.0,,,
takže.4,0.0,0.0,0.0,,,
dyž.1,0.0,0.0,0.0,,,
do.3,0.0,0.0,0.0,,,
Kyjova,0.0,0.0,0.0,,,
dojde,1.0,1.0,1.0,,,
deset.1,0.0,0.0,0.0,,,
tak.4,0.0,0.0,0.0,,,
k.1,1.0,1.0,1.0,,,
nám.1,0.0,0.0,0.0,,,
šedesát,0.0,0.0,0.0,,,
"že,",0.0,0.0,0.0,,,
a.11,0.0,0.0,0.0,,,
jaktože,0.0,0.0,0.0,,,
je.6,0.0,0.0,0.0,,,
tady,0.0,0.0,0.0,,,
toli*,0.0,0.0,0.0,,,
o.2,1.0,1.0,1.0,,,
tolik.1,0.0,0.0,0.0,,,
víc,0.0,0.0,0.0,,,
jako?.1,0.0,0.0,0.0,,,
tož.2,0.0,0.0,0.0,,,
"protože,",0.0,0.0,0.0,,,
tady.1,0.0,0.0,0.0,,,
byly,0.0,0.0,0.0,,,
"železárny,",0.0,0.0,0.0,,,
a.12,0.0,0.0,0.0,,,
vlasně,0.0,0.0,0.0,,,
to.11,0.0,0.0,0.0,,,
dyž.2,0.0,0.0,0.0,,,
"začalo,",0.0,0.0,0.0,,,
tak.5,0.0,0.0,0.0,,,
"eee,",0.0,0.0,0.0,,,
závodní,0.0,0.0,0.0,,,
doktor,0.0,0.0,0.0,,,
z.1,1.0,0.0,1.0,,,
železáren,0.0,0.0,0.0,,,
"všecky,",0.0,0.0,0.0,,,
posílal,0.0,0.0,0.0,,,
k.2,1.0,1.0,1.0,,,
nas*,0.0,0.0,0.0,,,
k.3,1.0,1.0,1.0,,,
naší.1,0.0,0.0,0.0,,,
pojišťovně,0.0,0.0,0.0,,,
zdravotní.,0.0,0.0,0.0,,,
takže.5,0.0,0.0,0.0,,,
to.12,0.0,0.0,0.0,,,
bylo,0.0,0.0,0.0,,,
"tak,",0.0,0.0,0.0,,,
aha.,0.0,0.0,0.0,,,
tak.6,0.0,0.0,0.0,,,
to.13,0.0,0.0,0.0,,,
je.7,0.0,0.0,0.0,,,
dobré,0.0,0.0,0.0,,,
ne?,0.0,0.0,0.0,,,
tož.3,0.0,0.0,0.0,,,
ba,0.0,0.0,0.0,,,
"jasně,",0.0,1.0,0.0,,,
to.14,0.0,0.0,0.0,,,
je.8,0.0,0.0,0.0,,,
"výborné,",0.0,0.0,0.0,,,
takže.6,0.0,0.0,0.0,,,
tak.7,0.0,0.0,0.0,,,
tak.8,0.0,0.0,0.0,,,
tak.9,0.0,0.0,0.0,,,
tak.10,0.0,0.0,0.0,,,
sem.7,1.0,0.0,1.0,,,
si.2,1.0,1.0,1.0,,,
říkala,1.0,1.0,1.0,,,
jak,0.0,0.0,0.0,,,
bude.1,0.0,0.0,0.0,,,
o.3,1.0,1.0,1.0,,,
víkendu,0.0,0.0,0.0,,,
krásně.,0.0,0.0,0.0,,,
že.4,0.0,0.0,0.0,,,
pojedeme,0.0,0.0,0.0,,,
do.4,0.0,0.0,0.0,,,
"Luhačovic,",0.0,0.0,0.0,,,
na.1,1.0,1.0,1.0,,,
to.15,0.0,0.0,0.0,,,
otvírání,1.0,1.0,1.0,,,
pramenů,0.0,0.0,0.0,,,
a.13,0.0,0.0,0.0,,,
nic,0.0,0.0,0.0,,,
nic.,0.0,0.0,0.0,,,
A,0.0,0.0,0.0,,,
kdy,0.0,0.0,0.0,,,
to.16,0.0,0.0,0.0,,,
mělo,0.0,0.0,0.0,,,
"byt,",0.0,0.0,0.0,,,
to.17,0.0,0.0,0.0,,,
to.18,0.0,0.0,0.0,,,
bylo.1,0.0,0.0,0.0,,,
dnes.,0.0,0.0,0.0,,,
no.1,0.0,0.0,0.0,,,
ale.7,0.0,0.0,0.0,,,
nevim,0.0,0.0,0.0,,,
jak.1,0.0,0.0,0.0,,,
jim,0.0,0.0,0.0,,,
to.19,0.0,0.0,0.0,,,
vyšlo.,0.0,1.0,1.0,,,
prtože,0.0,0.0,0.0,,,
tam.7,0.0,0.0,0.0,,,
"bylo,",0.0,0.0,0.0,,,
od.3,1.0,1.0,1.0,,,
jedné,0.0,0.0,0.0,,,
hodiny,0.0,0.0,0.0,,,
tam.8,0.0,0.0,0.0,,,
byl,0.0,0.0,0.0,,,
"jarmak,",0.0,0.0,0.0,,,
v.7,0.0,1.0,0.0,,,
té,0.0,0.0,0.0,,,
nádražní,0.0,0.0,0.0,,,
ulici,0.0,0.0,0.0,,,
ale.8,0.0,0.0,0.0,,,
my,0.0,0.0,0.0,,,
sme,0.0,0.0,0.0,,,
tam.9,0.0,0.0,0.0,,,
nikdy,0.0,0.0,0.0,,,
nebyli,0.0,0.0,0.0,,,
ani,0.0,0.0,0.0,,,
s,0.0,0.0,0.0,,,
taťkou,0.0,0.0,0.0,,,
tak.11,0.0,0.0,0.0,,,
já.11,0.0,0.0,0.0,,,
nevím,0.0,0.0,0.0,,,
jak.2,0.0,0.0,0.0,,,
to.20,0.0,0.0,0.0,,,
tam.10,0.0,0.0,0.0,,,
"vypadá,",0.0,0.0,0.0,,,
ale.9,0.0,0.0,0.0,,,
od.4,1.0,1.0,1.0,,,
jedné.1,0.0,0.0,0.0,,,
hodiny.1,0.0,0.0,0.0,,,
jarmak,0.0,0.0,0.0,,,
a.14,0.0,0.0,0.0,,,
teďka,0.0,0.0,0.0,,,
nevím.1,0.0,0.0,0.0,,,
jesi,0.0,0.0,0.0,,,
eee,0.0,0.0,0.0,,,
od.5,1.0,1.0,1.0,,,
odpoledne,0.0,0.0,0.0,,,
prostě,0.0,1.0,0.0,,,
tam.11,0.0,0.0,0.0,,,
výstava,0.0,0.0,0.0,,,
veteránů,0.0,0.0,0.0,,,
aut,0.0,0.0,0.0,,,
a.15,0.0,0.0,0.0,,,
eee.1,0.0,0.0,0.0,,,
kol,1.0,0.0,1.0,,,
a.16,0.0,0.0,0.0,,,
veteráni,0.0,0.0,0.0,,,
cyk*,0.0,0.0,0.0,,,
cyklisti,0.0,0.0,0.0,,,
tam.12,0.0,0.0,0.0,,,
ňákou,0.0,0.0,0.0,,,
jízdu,0.0,0.0,0.0,,,
na.2,0.0,0.0,0.0,,,
tom,0.0,0.0,0.0,,,
lázeňském,0.0,0.0,0.0,,,
náměstí,0.0,0.0,0.0,,,
u.2,1.0,0.0,0.0,,,
Jurkovičového,0.0,0.0,0.0,,,
domu,0.0,0.0,0.0,,,
a.17,0.0,0.0,0.0,,,
tak.12,0.0,0.0,0.0,,,
sem.8,0.0,0.0,0.0,,,
si.3,0.0,0.0,0.0,,,
právě,0.0,0.0,0.0,,,
tak.13,0.0,0.0,0.0,,,
naplánovala,0.0,0.0,0.0,,,
že.5,0.0,0.0,0.0,,,
pěkně.,0.0,0.0,0.0,,,
dyž.3,0.0,0.0,0.0,,,
"bude,",0.0,0.0,0.0,,,
krásně,0.0,0.0,0.0,,,
tak.14,0.0,0.0,0.0,,,
si.4,0.0,0.0,0.0,,,
dám.,1.0,0.0,0.0,,,
dlúhú,0.0,0.0,0.0,,,
"sukňu,",0.0,0.0,0.0,,,
"klobouk,",0.0,0.0,0.0,,,
háčkované,0.0,0.0,0.0,,,
"rukavičky,",0.0,0.0,0.0,,,
Nikolce,0.0,0.0,0.0,,,
"taky,",0.0,0.0,0.0,,,
"šatičky,",0.0,0.0,0.0,,,
"klobouček,",0.0,0.0,0.0,,,
a.18,0.0,0.0,0.0,,,
ty.1,0.0,0.0,0.0,,,
pro,0.0,0.0,0.0,,,
ňu,0.0,0.0,0.0,,,
máš,0.0,0.0,0.0,,,
jako.3,0.0,0.0,0.0,,,
ňáké.1,0.0,0.0,0.0,,,
šatičky.2,0.0,0.0,0.0,,,
aj.,0.0,0.0,0.0,,,
no.2,0.0,0.0,0.0,,,
jo?,0.0,0.0,0.0,,,
no.3,0.0,0.0,0.0,,,
mám..1,0.0,0.0,0.0,,,
dyby,0.0,0.0,0.0,,,
bylo.2,0.0,0.0,0.0,,,
teplo,0.0,0.0,0.0,,,
tak.15,0.0,0.0,0.0,,,
sem.9,0.0,0.0,0.0,,,
měla,0.0,0.0,0.0,,,
naplánované,0.0,0.0,0.0,,,
eee.2,0.0,0.0,0.0,,,
no..2,0.0,0.0,0.0,,,
takové.1,0.0,0.0,0.0,,,
šaty,0.0,0.0,0.0,,,
jako.4,0.0,0.0,0.0,,,
co.1,0.0,0.0,0.0,,,
by,0.0,0.0,0.0,,,
měla.1,0.0,0.0,0.0,,,
dlúhé,0.0,0.0,0.0,,,
jesi.1,0.0,0.0,0.0,,,
by.1,0.0,0.0,0.0,,,
jo.1,0.0,0.0,0.0,,,
do.5,1.0,1.0,1.0,,,
toho.1,0.0,0.0,0.0,,,
chtěla,0.0,0.0,0.0,,,
"jít,",1.0,1.0,1.0,,,
jo.2,0.0,0.0,0.0,,,
"pane,",0.0,0.0,0.0,,,
jo.3,0.0,0.0,0.0,,,
a.19,0.0,0.0,0.0,,,
tak.16,0.0,0.0,0.0,,,
to.21,0.0,0.0,0.0,,,
v.8,1.0,1.0,1.0,,,
létě,0.0,0.0,0.0,,,
že.6,0.0,0.0,0.0,,,
jo.4,0.0,0.0,0.0,,,
až.1,0.0,0.0,0.0,,,
bude.2,0.0,0.0,0.0,,,
třeba.1,0.0,0.0,0.0,,,
aj,0.0,0.0,0.0,,,
ňáká,0.0,0.0,0.0,,,
akce,0.0,0.0,0.0,,,
to.22,0.0,0.0,0.0,,,
jako.5,0.0,0.0,0.0,,,
ani.1,0.0,0.0,0.0,,,
nemusí,0.0,0.0,0.0,,,
být,0.0,0.0,0.0,,,
akce.,0.0,0.0,0.0,,,
že.7,0.0,0.0,0.0,,,
jo.5,0.0,0.0,0.0,,,
když,0.0,0.0,0.0,,,
se,0.0,0.0,0.0,,,
tak.17,0.0,0.0,0.0,,,
oblečete.,0.0,0.0,0.0,,,
šak.1,0.0,0.0,0.0,,,
nemusí.1,0.0,0.0,0.0,,,
to.23,0.0,0.0,0.0,,,
možem,0.0,0.0,0.0,,,
jít,0.0,0.0,0.0,,,
aj.1,0.0,0.0,0.0,,,
do.6,0.0,0.0,0.0,,,
Veselí.4,0.0,0.0,0.0,,,
do.7,0.0,0.0,0.0,,,
cukrárny.,0.0,0.0,0.0,,,
"no,",0.0,0.0,0.0,,,
"no,.1",0.0,0.0,0.0,,,
hledět,0.0,0.0,0.0,,,
a.20,0.0,0.0,0.0,,,
že.8,0.0,0.0,0.0,,,
ten,0.0,0.0,0.0,,,
klobouček,0.0,0.0,0.0,,,
ten.1,0.0,0.0,0.0,,,
si.5,0.0,0.0,0.0,,,
zkoušela,0.0,0.0,0.0,,,
teďka.1,0.0,0.0,0.0,,,
dneska.,0.0,0.0,0.0,,,
jo.6,0.0,0.0,0.0,,,
no.4,0.0,0.0,0.0,,,
on,0.0,0.0,0.0,,,
je.9,0.0,0.0,0.0,,,
"trošku,",0.0,0.0,0.0,,,
možná,0.0,0.0,0.0,,,
by.2,0.0,0.0,0.0,,,
ho,0.0,0.0,0.0,,,
chtělo,0.0,0.0,0.0,,,
trošku,0.0,0.0,0.0,,,
namočit.,0.0,0.0,0.0,,,
Jako,0.0,0.0,0.0,,,
a.21,0.0,0.0,0.0,,,
eee.3,0.0,0.0,0.0,,,
natahnút,0.0,0.0,0.0,,,
na.3,0.0,0.0,0.0,,,
neco.1,0.0,0.0,0.0,,,
vlhký.,0.0,0.0,0.0,,,
aby,0.0,0.0,0.0,,,
uschl,0.0,0.0,0.0,,,
roztahlý.,0.0,0.0,0.0,,,
mně.1,0.0,0.0,0.0,,,
se.1,0.0,1.0,1.0,,,
zdá,0.0,1.0,1.0,,,
že.9,0.0,0.0,0.0,,,
by.3,0.0,0.0,0.0,,,
mohl,0.0,0.0,0.0,,,
být.1,0.0,0.0,0.0,,,
trošk*,0.0,0.0,0.0,,,
jako.6,0.0,0.0,0.0,,,
"volnější,",0.0,0.0,0.0,,,
že.10,0.0,0.0,0.0,,,
že.11,0.0,0.0,0.0,,,
je.10,0.0,0.0,0.0,,,
jí.3,0.0,0.0,0.0,,,
trochu,0.0,0.0,0.0,,,
malý,0.0,0.0,0.0,,,
"jako,.1",0.0,0.0,0.0,,,
ale.10,0.0,0.0,0.0,,,
to.24,0.0,0.0,0.0,,,
by.4,0.0,0.0,0.0,,,
se.2,0.0,0.0,0.0,,,
dalo,0.0,0.0,0.0,,,
roztahnút,0.0,0.0,0.0,,,
vlhké,0.0,0.0,0.0,,,
dyby.1,0.0,0.0,0.0,,,
to.25,0.0,0.0,0.0,,,
bylo.,0.0,0.0,0.0,,,
